시도,종별,기관명,전화번호,주소,위도,경도
서울특별시,종합병원,서울적십자병원,02-2002-8860,서울특별시 종로구 새문안로 9,126.9672019,37.56676211
서울특별시,종합병원,가톨릭대학교 은평성모병원,02-2030-4291,서울특별시 은평구 통일로 1021,126.9161505,37.63360841
강원특별자치도,종합병원,강원대학교병원,033-258-9217,강원특별자치도 춘천시 백령로 156,127.7447997,37.87470196
대구광역시,상급종합병원,경북대학교병원,053-200-4501,대구광역시 중구 동덕로 130,128.6043147,35.8662355
충청남도,상급종합병원,단국대의과대학부속병원,041-550-6891,충청남도 천안시 동남구 망향로 201,127.1732754,36.84295215
부산광역시,병원,동래성모병원,051-559-8833,부산광역시 동래구 충렬대로 188,129.0801766,35.20326365
서울특별시,병원,서울특별시 북부병원,02-2036-0459,서울특별시 중랑구 양원역로 38,127.1076802,37.60439347
전라남도,종합병원,성가롤로병원,061-720-2483,전라남도 순천시 순광로 221,127.5417699,34.9644733
서울특별시,종합병원,성애병원,02-840-7342,서울특별시 영등포구 여의대방로53길 22,126.9223673,37.51205045
경기도,상급종합병원,아주대학교병원,031-219-4106,경기도 수원시 영통구 월드컵로 164,127.0475211,37.27944776
대구광역시,상급종합병원,영남대학교병원,053-620-3873,대구광역시 남구 현충로 170,128.5865487,35.84716173
서울특별시,종합병원,의료법인한전의료재단한일병원,02-901-3848,서울특별시 도봉구 우이천로 308,127.0290576,37.64668449
경상남도,종합병원,창원 파티마병원,055-270-1115,경상남도 창원시 의창구 창이대로 45,128.6444853,35.23724183
서울특별시,상급종합병원,(학)가톨릭대학교서울성모병원,02-2258-8151,서울특별시 서초구 반포대로 222,127.0058628,37.50239181
경기도,종합병원,광명성애병원,02-2680-7338,경기도 광명시 디지털로 36,126.8716349,37.47321247
대구광역시,상급종합병원,대구가톨릭의료원,053-650-4390,대구광역시 남구 두류공원로17길 33,128.5657926,35.8441899
전라북도,상급종합병원,전북대학교병원,063-250-2600,전라북도 전주시 덕진구 건지로 20,127.1411035,35.84788564
서울특별시,종합병원,강동성심병원,02-2225-2758,서울특별시 강동구 성안로 150,127.135334,37.53615609
경기도,상급종합병원,분당서울대학병원,1588-3369,경기도 성남시 분당구 구미로173번길 82,127.1244835,37.35202597
서울특별시,상급종합병원,서울아산병원,02-3010-1106,서울특별시 송파구 올림픽로43길 88 (풍납동),127.1095256,37.5251582
서울특별시,종합병원,순천향대학교부속서울병원,02-709-9067,서울특별시 용산구 대사관로 59,127.0038785,37.53428021
전라남도,종합병원,여천전남병원,061-690-6152,전라남도 여수시 무선로 95,127.6542294,34.76902617
인천광역시,상급종합병원,인하대병원,032-890-2222,인천광역시 중구 인항로 27,126.6341664,37.45885479
서울특별시,상급종합병원,중앙대학교병원,02-2356-2356,서울특별시 동작구 흑석로 102,126.96042,37.5060362
대전광역시,상급종합병원,충남대학교병원,042-280-8632,대전광역시 중구 문화로 282,127.4153053,36.31684464
대전광역시,종합병원,학교법인가톨릭대학교대전성모병원,042-220-9986,대전광역시 중구 대흥로 64,127.4202104,36.32199305
서울특별시,종합병원,(학)일송학원 한강성심병원,02-2639-5354,서울특별시 영등포구 버드나루로7길 12,126.9096904,37.52317784
경기도,요양병원,가은병원,032-621-9222,경기도 부천시 마니로24번길 43-17,126.7688692,37.47745306
인천광역시,상급종합병원,가톨릭대학교인천성모병원,032-280-6084,인천광역시 부평구 동수로 56,126.7252054,37.48413154
강원특별자치도,상급종합병원,강릉아산병원,033-610-3148,강원특별자치도 강릉시 사천면 방동길 38,128.8577455,37.81835197
서울특별시,상급종합병원,경희대학교병원,02-958-9902,서울특별시 동대문구 경희대로 23,127.0507412,37.59377476
서울특별시,상급종합병원,고려대의대부속구로병원,02-2626-1883,서울특별시 구로구 구로동로 148,126.8846396,37.49118118
부산광역시,종합병원,고신대학교복음병원,051-990-5258,부산광역시 서구 감천로 262,129.0138836,35.08035099
경상북도,종합병원,구미차병원,054-450-9880,경상북도 구미시 신시로10길 12,128.3407099,36.11460015
경기도,종합병원,국민건강보험공단일산병원,031-900-3137,경기도 고양시 일산동구 일산로 100,126.793042,37.64547581
서울특별시,종합병원,대림성모병원,02-829-9129,서울특별시 영등포구 시흥대로 657,126.9071695,37.49068925
대전광역시,요양병원,대전나진요양병원,042-520-6503,대전광역시 서구 갈마로 122,127.3713351,36.34166358
전라남도,종합병원,목포기독병원,061-280-7283,전라남도 목포시 백년대로 303,126.4202278,34.80423716
경기도,의원,새오름가정의원,031-313-9809,경기도 시흥시 비둘기공원7길 83,126.7922642,37.43930085
서울특별시,상급종합병원,서울대학교병원,02-2072-3066,서울특별시 종로구 대학로 101,127.0003985,37.57791378
서울특별시,종합병원,서울특별시 보라매병원,02-870-2178,서울특별시 동작구 보라매로5길 20,126.924332,37.49301528
서울특별시,종합병원,서울특별시 서울의료원,02-2276-7014,서울특별시 중랑구 신내로 156,127.0991891,37.61309005
경기도,상급종합병원,순천향대학교부속부천병원,032-621-5806,경기도 부천시 조마루로 170,126.76211,37.49837181
전라남도,종합병원,여수전남병원,061-640-7801,전라남도 여수시 좌수영로 49,127.728194,34.74511953
서울특별시,상급종합병원,연세의료원(신촌),02-2228-4301,서울특별시 서대문구 연세로 50-1,126.9408237,37.56140713
전라북도,종합병원,예수병원,063-230-8861,전라북도 전주시 완산구 서원로 365,127.1326081,35.81433245
전라북도,상급종합병원,원광대학교병원,063-859-2249,전라북도 익산시 무왕로 895,126.961518,35.96525791
경기도,종합병원,의료법인일심의료재단우리병원,031-542-0229,경기도 포천시 소흘읍 호국로 661,127.1481408,37.82748442
제주특별자치도,종합병원,제주대학교병원,064-717-2175,제주특별자치도 제주시 아란13길 15,126.5452008,33.46720843
충청북도,상급종합병원,충북대학교병원,043-269-8819,충청북도 청주시 서원구 1순환로 776,127.4615815,36.62416671
대구광역시,상급종합병원,칠곡경북대학교병원,053-200-3040,대구광역시 북구 호국로 807,128.5652776,35.95614739
울산광역시,상급종합병원,학교법인 울산공업학원 울산대학교병원,052-230-1680,울산광역시 동구 방어진순환도로 877,129.4288047,35.52005932
경상남도,상급종합병원,학교법인성균관대학삼성창원병원,055-233-8309,경상남도 창원시 마산회원구 팔용로 158,128.5919637,35.2429947
서울특별시,종합병원,한국원자력의학원 원자력병원,02-970-2043,서울특별시 노원구 노원로 75,127.0826932,37.62881598
강원특별자치도,종합병원,한림대학교부속춘천성심병원,033-240-5130,강원특별자치도 춘천시 삭주로 77,127.7392938,37.88376398
전라남도,상급종합병원,화순전남대학교병원,061-379-7046,전라남도 화순군 화순읍 서양로 322,127.0032186,35.0611776
전라북도,요양병원,효사랑가족요양병원,063-711-1100,전라북도 전주시 완산구 용머리로 77,127.1188362,35.80670415
전라북도,요양병원,효사랑전주요양병원,063-259-2403,전라북도 전주시 완산구 팔달로 272,127.1441066,35.82643936
경기도,종합병원,의료법인 원광의료재단 원광종합병원,031-8077-7222,경기도 화성시 화산북로 21,127.0083185,37.20990713
경기도,종합병원,한양대학교의과대학부속구리병원,031-560-2963,경기도 구리시 경춘로 153,127.1325076,37.60127601
서울특별시,종합병원,강동경희대병원,02-440-6100,서울특별시 강동구 동남로 892,127.1569621,37.55316901
경상북도,요양병원,경상북도립안동노인전문요양병원,054-861-6177,경상북도 안동시 남후면 남일로 1463,128.689432,36.52369297
서울특별시,상급종합병원,고려대학교 안암병원,02-920-6341,서울특별시 성북구 고려대로 73,127.0263579,37.58711178
경기도,종합병원,국립암센터병원,031-920-0471,경기도 고양시 일산동구 일산로 323,126.7833999,37.66322585
경기도,요양병원,보바스기념병원,031-786-3129,경기도 성남시 분당구 대왕판교로 155-7,127.0983262,37.35605117
인천광역시,종합병원,부평세림병원,032-509-5460,인천광역시 부평구 부평대로 175,126.7199335,37.50674157
서울특별시,상급종합병원,강북삼성병원,02-2001-2868,서울특별시 종로구 새문안로 29,126.9678123,37.56886701
대전광역시,종합병원,건양대학교병원,042-600-9450,대전광역시 서구 관저동로 158,127.3426483,36.30778199
경기도,종합병원,의료법인 플러스의료재단 단원병원,031-8040-5906,경기도 안산시 단원구 원포공원1로 20,126.8132427,37.30023566
광주광역시,상급종합병원,전남대학교병원,062-220-6918,광주광역시 동구 제봉로 42,126.9219841,35.14201248
경기도,종합병원,가톨릭대학교 성빈센트병원,031-881-8833,경기도 수원시 팔달구 중부대로 93,127.0274495,37.27792235
경기도,종합병원,가톨릭대학교의정부성모병원,031-820-3889,경기도 의정부시 천보로 271,127.0779487,37.75864989
서울특별시,상급종합병원,건국대학교병원,02-2030-8031,서울특별시 광진구 능동로 120-1,127.0720551,37.54123563
경기도,종합병원,의료법인효산의료재단안양샘병원,031-467-9300,경기도 안양시 만안구 삼덕로 9,126.9248212,37.39289124
서울특별시,종합병원,한림대학교강남성심병원,02-6960-1042,서울특별시 영등포구 신길로 1,126.9086996,37.49329976
경기도,종합병원,효산의료재단지샘병원,031-389-3740,경기도 군포시 군포로 591,126.9473179,37.35867166
광주광역시,종합병원,KS병원,062-975-9661,광주광역시 광산구 왕버들로 220,126.8331574,35.19793306
인천광역시,종합병원,가톨릭관동대학교 국제성모병원,032-290-3972,인천광역시 서구 심곡로100번길 25,126.6836455,37.54239799
경기도,종합병원,원광대학교산본병원,031-390-2528,경기도 군포시 산본로 321,126.933605,37.35941441
